Abbreviation used in plots,Trait.name,Variable.name,Method.name,Scale.name,Variable.ID,Trait.ID,Method.ID,Scale.ID,Context.of.use,Growth.stage,Variable.status,Variable.Xref,Trait.class,Method.class,Scale.class,Trait.description,Method.description,Entity
AGBMNitr,Above ground biomass nitrogen content,AGBMNitr_M_pct,BM NIRS Computation,%,CO_321:0001702,CO_321:0001662,CO_321:0001682,CO_321:0000410,Research-intensive characterization,After harvest,,,Nitrogen Use Efficiency components,Computation,Numerical,Nitrogen content of the above ground biomass.,Calculated as sum of straw Nitrogen content and grain Nitrogen content according to the biomass partition into straw and grain.,Plant
Ant,Anthesis time,Ant_dto_day,Ant DS65 DT Computation,day,CO_321:0001048,CO_321:0000121,CO_321:0000336,CO_321:0000434,Trial evaluation,Flowering half complete (DS65),,BMS_22674,Phenological traits,Computation,Duration,Anthesis or flowering time is the period during which a flower is fully open and functional. pollination and fertilization occur during this period.,"Number of days required from sowing to when 50% of spikes have flowered (DS65). However, when planting in dry soils in dryland areas it is counted from the first day of rainfall or irrigation which is sufficient for germination, or from emergence date.",Plant
ANTHCOL,Anther colour,ANTHCOL_E_1to3,ANTHCol Estimation,1-3 ANTHCOL scale,,,,,Descriptor,DS61-DS75,,,Morphological traits,Estimation,Nominal,colour observation on the anthers.,Standard method for anther colour.,Anther
AwnCol,Awn colour,AwnCol_E_1to6,AwnCol Estimation,1-6 colour scale,CO_321:0001453,CO_321:0000960,CO_321:0000983,CO_321:0001012,Nursery/Trial evaluation,,,,Morphological traits,Estimation,Nominal,Awn colour.,Standard method for awn colour.,Awn
AwnLng,Awn length,AwnLng_M_cm,AwnLng  Measurement,cm,CO_321:0001052,CO_321:0000026,CO_321:0000247,CO_321:0000411,Trial evaluation,DS75-DS89,,BMS_29018,Morphological traits,Measurement,Numerical,Awn length.,Standard method for awn length.,Awn
Awns,Spike awnedness,Awns_E_0to1,Awns Presence,0-1 absent-present,CO_321:0001708,CO_321:0000027,CO_321:0001676,CO_321:0000599,Descriptor,DS65-DS89,,,Morphological traits,Estimation,Nominal,Observation of awn type whether awnless/awnletted (short awns)/awned (conspicious awns).,Standard method for awn presence estimation.,Spike
BaWtGr,Barium weight per grain,BaWtGr_CalcIcpTgw_uggrain,BaWtGr Computation,uggrain,,,,,Research-intensive characterization,After harvest,,,Mineral content,Computation,,Barium weight per grain,,Grain
BM,Aboveground biomass at maturity,BM_Calc_gm2,BM Computation,g/m2,CO_321:0001034,CO_321:0000005,CO_321:0001027,CO_321:0000805,Trial evaluation,After physiological maturity (DS87),,BMS_29020,Biomass partitioning,Computation,Numerical,All above-ground biomass at maturity.,"Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot. Biomass as other yield components can be calculated or measured individually (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.",Plant
BMNUE,Above ground biomass nitrogen efficiency,BMNUE_Calc_kgkgN,BMNUE Computation,kg/kg N,CO_321:0001720,CO_321:0001671,CO_321:0001691,CO_321:0001699,Research-intensive characterization,After harvest,,,Nitrogen Use Efficiency components,Computation,Numerical,The above ground biomass production per total Nitrogen available  to a plant.,Calculated as the above ground biomass divided by the total soil Nitrogen.,Plant
BMNUP,Above ground biomass nitrogen uptake,BMNUP_Calc_kgha,BMNUp Computation,kg/ha,CO_321:0001711,CO_321:0001664,CO_321:0001684,CO_321:0000804,Research-intensive characterization,After harvest,,,Nitrogen Use Efficiency components,Computation,Numerical,Uptake of Nitrogen in the above ground biomass at maturity.,Calculated as total amount of Nitrogen in the above-ground biomass at harvest.,Plant
BMNUtE,Biomass Nitrogen utilization efficiency,BMNUtE_Calc_kgkgN,BMNUtE Computation,kg/kg N,CO_321:0001718,CO_321:0001669,CO_321:0001689,CO_321:0001699,Research-intensive characterization,After harvest,,,Nitrogen Use Efficiency components,Computation,Numerical,Biomass Nitrogen Utilization Efficiency as the biomass in relation to the total amount of N in above-ground plant at harvest.,Calculated as biomass per unit of Nitrogen taken up.,Plant
Boot,Booting time,Boot_dto_day,Boot DS45 DT Computation,day,CO_321:0001076,CO_321:0000191,CO_321:0000376,CO_321:0000434,Research-intensive characterization,Boot swollen (DS45),,BMS_29037,Phenological traits,Computation,Duration,"Booting time is just prior to spike emergence, when the flag leaf sheath encloses the growing spike.","Number of days from sowing to booting stage (DS45). However, when planting in dry soils in dryland areas it is counted from the first day of rainfall or irrigation which is sufficient for germination, or from emergence date.",Plant
BrownFootRot,Brown foot rot incidence.,BrownFootRot_E_0to9pct,BrownFootRot Estimation,0-9 percentage scale,,,,,Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease.,,,Biotic stress traits,Estimation,,Brown foot rot incidence in the plants.,Standard method for common root rot incidence.,Plant
CaWtGr,Calcium weight per grain,CaWtGr_CalcIcpTgw_uggrain,CaWtGr Computation,uggrain,ROTH_VARIABLE:000351,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Computation,Numerical,Calcium weight per grain,Calcium weight per grain calculated from grain offtake and grains per unit area,Grain
CI,Red-edge ChlorophyII Index,CI_M_Idx,CI Measurement,index,,,,,Research-intensive characterization,,,,Physiological traits,Measurement,,Closely related to leaf area index,,Leaf
CirDe,Circular Degree,CirDe_M_Idx,CirDe Measurement,index,,,,,Research-intensive characterization,,,,Morphological traits,Measurement,,,,Grain
CO2A,CO2_Assimilation,CO2A_M_µmol/m⁻²s⁻¹,CO2A Measurement,µmol/m⁻²s⁻¹,,,,,Research-intensive characterization,,,,Physiological traits,Measurement,,"CO2 assimilation, also known as carbon assimilation or carbon fixation, is a crucial process in photosynthesis, the biological process by which green plants, algae, and some bacteria convert carbon dioxide (CO2) and water into organic compounds, primarily glucose and other sugars. This process is the foundation of the food chain and provides the energy source for most living organisms on Earth.",,Leaf
COLEOPCOL,Coleoptile colour,COLEOPCOL_E_1to3,COLEOPCOL  Measurement,1-3 COLEOPCOL scale,,,,,Descriptor,,,,Morphological traits,Measurement,Numerical,Colour observation nf the coleoptile.,Standard method for coleoptile colour.,Coleoptile
CuWtGr,Copper weight per grain,CuWtGr_CalcIcpTgw_uggrain,CuWtGr Computation,uggrain,ROTH_VARIABLE:000355,,,,Research-intensive characterization,After harvest,,,Mineral content,Computation,Numerical,Copper weight per grain,Copper weight per grain calculated from grain offtake and grains per unit area,Grain
DATT,Dark-Adapted Triangular Transmittance,DATT_M_pct,DATT Measurement,%,,,,,Research-intensive characterization,,,,Physiological traits,Measurement,,The chlorophyII content can be evalutated effectively,,Leaf
EAR,Ear Day,EAR_dto_day,EAR Computation,day,,,,,,,,,Phenological traits,Computation,,flag leaf extract and the young panicle enclosed in flag leaf sheath is obviously enclarged,,Plant
EgramSev,Powdery mildew severity,EgramSev_E_pct,EgramSev Estimation,%,CO_321:0001444,CO_321:0000939,CO_321:0000988,CO_321:0000410,Nursery/Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease.,Obsolete/legacy,,Biotic stress traits,Estimation,Numerical,Powdery mildew severity in the plants caused by the agent Blumeria graminis (Erysiphe graminis) f. sp. tritici.,Standard method for powdery mildew severity.,Leaf
EmerNo,Emergency Number,EmerNo_Cal_pct,EmerNo Computation,%,,,,,Research-intensive characterization,,,,Yield component,Computation,,the number of seedlings ,,Plant
EVI,Enhanced Vegetation Index,EVI_M_Idx,EVI Measurement,index,,,,,Research-intensive characterization,,,,Physiological traits,Measurement,,related to biomass,,Plant
FeWtGr,Iron weight per grain,FeWtGr_CalcIcpTgw_uggrain,FeWtGr Computation,uggrain,ROTH_VARIABLE:000356,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Computation,Numerical,Iron weight per grain,Iron weight per grain calculated from grain offtake and grains per unit area,Grain
FHB,Fusarium head bligh,FHB_Cal_per,FHB Computation,%,,,,,Research-intensive characterization,,,,Biotic stress traits,Computation,, Fusarium head blight incidence in pants,,Spike
FLeafSen,Flag leaf senescence,FLeafSen_E_pct,FLeafSen Estimation,%,CO_321:0001128,CO_321:0000194,CO_321:0000382,CO_321:0000410,Research-intensive characterization,From DS71,,BMS_29049,Phenological traits,Estimation,Numerical,Flag leaf senescence.,"Rate using a scale from 0 (0% senescence) to 10 (100% senescence) using the guide, in increments of 10%.",Flag leaf
FND,First node detectable time,FND_dto_day,FND DS31 DT Computation,day,CO_321:0001126,CO_321:0000183,CO_321:0000378,CO_321:0000434,Research-intensive characterization,First node detectable (DS31),,BMS_29040,Phenological traits,Computation,Duration,"First node detectable time is when the stem starts the elongation or jointing period, first node becomes visible as it appears above the soil surface.","Number of days from sowing to first node detectable. However, when planting in dry soils in dryland areas it is counted from the first day of rainfall or irrigation which is sufficient for germination, or from emergence date.",Plant
FT,Flowering Time(Generate by Hd and Ant),FT_dto_day,FT Computation,day,,,,,,,,,Phenological traits,Computation,,,,Plant
Gcir,Grain Circumference,Gcir_M_cm,Gcir Measurement,cm,,,,,Research-intensive characterization,,,,Yield component,Measurement,,Circumference of whole grain,,Grain
GCol,Grain colour,GCol_E_1to3,GCol Estimation,1-3 GRNCOL scale,CO_321:0001183,CO_321:0000037,CO_321:0000257,CO_321:0000452,Descriptor,After physiological maturity (DS87),,BMS_29074,Nutrition/Quality traits,Estimation,Nominal,Grain colour.,Standard method for grain colour.,Grain
GFP,Grain filling period,GFP_calc_day,GFP pct Computation,day,CO_321:0001189,CO_321:0000664,CO_321:0000838,CO_321:0000434,Research-intensive characterization,DS65-DS87,,BMS_29058,Phenological traits,Computation,Duration,Time period between anthesis (ds65) and maturity (ds87).,Calculated time between anthesis (DS65) and maturity (DS87)of crop cycle duration.,Plant
GFR,Grain fill rate,GFR_Calc_gday,GFR Computation,g/day,CO_321:0001714,CO_321:0001660,CO_321:0001680,CO_321:0001697,Research-intensive characterization,DS65-DS87,,,Phenological traits,Computation,Numerical,Grain weight increase per day in the  period between anthesis (ds65) and maturity (ds87).,Calculated daily grain weight increase between anthesis (DS65) and maturity (DS87) of crop cycle duration.,Plant
GgtriInc,Take all incidence,GgtriInc_E_pct,GgtriInc Estimation,%,CO_321:0001400,CO_321:0000119,CO_321:0000334,CO_321:0000410,Nursery/Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease.,,BMS_29060,Biotic stress traits,Estimation,Numerical,Take-all incidence in the plants caused by the agent Gaeumannomyces graminis var. tritici (ggt).,Standard method for take all incidence.,Plant
GHrd,Grain hardness,GHrd_M_pct,Modified Particle Size Index AACC 55-30  or NIR calibrated based on PSI results,%,CO_321:0001194,CO_321:0000072,CO_321:0000263,CO_321:0000410,Trial evaluation,After harvest (From DS87),,BMS_23232,Nutrition/Quality traits,Measurement,Numerical,Grain hardness is used as a grading factor to determine the type of wheat. It is a key determinant for classification of wheat and end product quality.,Modified Particle Size Index AACC 55-30 or NIR calibrated based on PSI results,Grain
GI,Green Index,GI_M_Idx,GI Measurement,index,,,,,Research-intensive characterization,,,,Physiological traits,Measurement,,"related to coverage of green vegetation, the greener the vegetation is ,the larger te value is",,Plant
GlmCol,Glume colour,GlmCol_E_1to3,GlmCol Estimation,1-3 GLMCOL scale,CO_321:0001168,CO_321:0000031,CO_321:0000251,CO_321:0000451,Descriptor,DS61-DS75,,BMS_29061,Morphological traits,Estimation,Nominal,colour observation on the outer glume at maturity.,Standard method for glume colour.,Glume
GLng,Grain length,GLng_M_mm,GLng Measurement,mm,CO_321:0001467,CO_321:0000979,CO_321:0001002,CO_321:0000428,Nursery/Trial evaluation,,,,Yield component,Measurement,Numerical,Length of whole grain.,Standard method for whole grain length.,Grain
GlumeSurf,Glume surface,GlumeSurf_E_1to3,GlumeSurf Estimation,1-3 Roughness scale,,,,,Research-intensive characterization,,,,Morphological traits,Estimation,Nominal,Glume surface roughness.,Standard method for glume surface roughness estimation.,Glume
GlumePub,Glume  pubescenec,GlumPub_E_0to1,GlumePub Estimation,0-1 absent-present,,,,,Descriptor,,,,Morphological traits,Estimation,,whether the glume surface has villous,,Spike
GN,Grain number,GN_Calc_Grnm2,GN Computation,grain/m2,CO_321:0001199,CO_321:0000017,CO_321:0000391,CO_321:0000392,Trial evaluation,After physiological maturity (DS87),,BMS_29072,Yield component,Computation,Numerical,Number of grains expressed as per unit area or sample.,"Grain number (GNO) as other yield components can be calculated or measured individually (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives. GNO determines the sink size of the crop and under many conditions it is strongly correlated with yield. Grains/m2 (GNO) = yield (g/m2) / TGW (g) � 1000.",Grain
GNDVI,Green Normalized Difference Vegetation Index,GNDVI_M_Idx,GNDVI Measurement,index,,,,,Research-intensive characterization,,,,Physiological traits,Measurement,,related to nitrogen content,,Leaf
GNitr,Grain Nitrogen content,GNitr_NIRS_pct,NIRS Measurement,%,CO_321:0001700,CO_321:1010105,CO_321:0000946,CO_321:0000410,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Measurement,Numerical,Whole-grain Nitrogen content.,NIR calibrated based on Kjeldahl results.,Grain
GNUP,Grain Nitrogen uptake,GNUP_Calc_kgha,GNUp Computation,kg/ha,CO_321:0001709,CO_321:0001663,CO_321:0001683,CO_321:0000804,Research-intensive characterization,After harvest,,,Nitrogen Use Efficiency components,Computation,Numerical,Uptake of Nitrogen in the whole wheat grain samples.,Calculated as total amount of Nitrogen in the grain at harvest.,Grain
GPD,Grain protein deviation,GPD_Calc_pct,GPD Computation,%,CO_321:0001706,CO_321:0001672,CO_321:0001692,CO_321:0000410,Research-intensive characterization,After harvest,,,Nitrogen Use Efficiency components,Computation,Numerical,Deviation from the grain yield -grain protein linear regression.,Calculated as the deviation from the yield-protein linear regression.,Plant
GrnBaCnc,Grain Barium concentration,GrnBaCnc_Icp_ppm,GrnBaCnc Measurement,ppm,,,,,Research-intensive characterization,After harvest,,,Mineral content,Measurement,,Grain Barium concentration,,Grain
GrnBaOff,Grain Zinc offtake,GrNBaOff_CalcIcpYld_kgha,GrnBaOff Computation,kgha,,,,,Research-intensive characterization,After harvest,,,Mineral content,Computation,,Grain Zinc offtake,,Grain
GrnCaCnc,Grain Calcium concentration,GrnCaCnc_Icp_ppm,GrnCaCnc Measurement,ppm,ROTH_VARIABLE:000197,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Measurement,Numerical,Grain Calcium concentration,"Grain Calcium concentrationmeasured on dried, milled sample measured by ICP measured on dried, milled sample measured by ICP",Grain
GrnCaOff,Grain Calcium offtake,GrnCaOff_CalcIcpYld_kgha,GrnCaOff Computation,kgha,ROTH_VARIABLE:000263,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Computation,Numerical,Grain Calcium offtake,Grain Calcium offtake calculated from grain concentration and yield @ 100% Dry Matter,Grain
GrnCuCnc,Grain Copper concentration,GrnCuCnc_Icp_ppm,GrnCuCnc Measurement,ppm,ROTH_VARIABLE:000201,,,,Research-intensive characterization,After harvest,,,Mineral content,Measurement,Numerical,Grain Copper concentration,"Grain Copper concentrationmeasured on dried, milled sample measured by ICP measured on dried, milled sample measured by ICP",Grain
GrnCuOff,Grain Copper offtake,GrnCuOff_CalcIcpYld_kgha,GrnCuOff Computation,kgha,ROTH_VARIABLE:000267,,,,Research-intensive characterization,After harvest,,,Mineral content,Computation,Numerical,Grain Copper offtake,Grain Copper offtake calculated from grain concentration and yield @ 100% Dry Matter,Grain
GrndCov,Crop ground cover,GrndCov_M_pct,GrndCov Measurement,%,CO_321:0001104,CO_321:0000014,CO_321:0000405,CO_321:0000410,Trial evaluation,DS10-DS35,,BMS_29078,Physiological traits,Measurement,Numerical,"Crop ground cover, or the percentage of soil surface covered by plant foliage.",High throughput approaches to measuring ground cover are: visual assessment or digital analysis of photographs,Plant
GrnDia,Grain diameter,GrnDia_M_mm,GrnDia Measurement,mm,,,,,Research-intensive characterization,After harvest (From DS87),,,Yield component,Measurement,Numerical,Grain diameter.,Standard method for grain diameter.,Grain
GrnFeCnc,Grain Iron concentration,GrnFeCnc_Icp_ppm,GrnFeCnc Measurement,ppm,ROTH_VARIABLE:000202,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Measurement,Numerical,Grain Iron concentration,"Grain Iron concentrationmeasured on dried, milled sample measured by ICP measured on dried, milled sample measured by ICP",Grain
GrnFeOff,Grain Iron offtake,GrnFeOff_CalcIcpYld_kgha,GrnFeOff Computation,kgha,ROTH_VARIABLE:000268,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Computation,Numerical,Grain Iron offtake,Grain Iron offtake calculated from grain concentration and yield @ 100% Dry Matter,Grain
GrnKCnc,Grain Potassium concentration,GrnKCnc_Icp_ppm,GrnKCnc Measurement,ppm,ROTH_VARIABLE:000203,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Measurement,Numerical,Grain Potassium concentration,"Grain Potassium concentrationmeasured on dried, milled sample measured by ICP measured on dried, milled sample measured by ICP",Grain
GrnKOff,Grain Potassium offtake,GrnKOff_CalcIcpYld_kgha,GrnKOff Computation,kgha,ROTH_VARIABLE:000269,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Computation,Numerical,Grain Potassium offtake,Grain Potassium offtake calculated from grain concentration and yield @ 100% Dry Matter,Grain
GrnMgCnc,Grain Magnesium concentration,GrnMgCnc_Icp_ppm,GrnMgCnc Measurement,ppm,ROTH_VARIABLE:000204,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Measurement,Numerical,Grain Magnesium concentration,"Grain Magnesium concentrationmeasured on dried, milled sample measured by ICP measured on dried, milled sample measured by ICP",Grain
GrnMgOff,Grain Magnesium offtake,GrnMgOff_CalcIcpYld_kgha,GrnMgOff Computation,kgha,ROTH_VARIABLE:000270,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Computation,Numerical,Grain Magnesium offtake,Grain Magnesium offtake calculated from grain concentration and yield @ 100% Dry Matter,Grain
GrnMnCnc,Grain Manganese concentration,GrnMnCnc_Icp_ppm,GrnMnCnc Measurement,ppm,ROTH_VARIABLE:000205,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Measurement,Numerical,Grain Manganese concentration,"Grain Manganese concentrationmeasured on dried, milled sample measured by ICP measured on dried, milled sample measured by ICP",Grain
GrnMnOff,Grain Manganese offtake,GrnMnOff_CalcIcpYld_kgha,GrnMnOff Computation,kgha,ROTH_VARIABLE:000271,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Computation,Numerical,Grain Manganese offtake,Grain Manganese offtake calculated from grain concentration and yield @ 100% Dry Matter,Grain
GrnNaCnc,Grain Sodium concentration,GrnNaCnc_Icp_ppm,GrnNaCnc Measurement,ppm,ROTH_VARIABLE:000207,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Measurement,Numerical,Grain Sodium concentration,"Grain Sodium concentrationmeasured on dried, milled sample measured by ICP measured on dried, milled sample measured by ICP",Grain
GrnNaOff,Grain Sodium offtake,GrnNaOff_CalcIcpYld_kgha,GrnNaOff Computation,kgha,ROTH_VARIABLE:000273,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Computation,Numerical,Grain Sodium offtake,Grain Sodium offtake calculated from grain concentration and yield @ 100% Dry Matter,Grain
GrnNode,Grain number per node,GrnNode_Calc_GrnNode,Grain Numver Computaion,,,,,,,,,,Yield component,Computation,,,,Plant
GrnPCnc,Grain Phosphorus concentration,GrnPCnc_Icp_ppm,GrnPCnc Measurement,ppm,ROTH_VARIABLE:000209,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Measurement,Numerical,Grain Phosphorus concentration,"Grain Phosphorus concentrationmeasured on dried, milled sample measured by ICP measured on dried, milled sample measured by ICP",Grain
GrnPOff,Grain Phosphorus offtake,GrnPOff_CalcIcpYld_kgha,GrnPOff Computation,kgha,ROTH_VARIABLE:000275,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Computation,Numerical,Grain Phosphorus offtake,Grain Phosphorus offtake calculated from grain concentration and yield @ 100% Dry Matter,Grain
GrnSCnc,Grain Sulphur concentration,GrnSCnc_Icp_ppm,GrnSCnc Measurement,ppm,ROTH_VARIABLE:000211,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Measurement,Numerical,Grain Sulphur concentration,"Grain Sulphur concentrationmeasured on dried, milled sample measured by ICP measured on dried, milled sample measured by ICP",Grain
GrnSOff,Grain Sulphur offtake,GrnSOff_CalcIcpYld_kgha,GrnSOff Computation,kgha,ROTH_VARIABLE:000277,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Computation,Numerical,Grain Sulphur offtake,Grain Sulphur offtake calculated from grain concentration and yield @ 100% Dry Matter,Grain
