Bytes,Sample
6.12 Gb,A001
6.80 Gb,A002
11.02 Gb,A003
6.70 Gb,A004
7.17 Gb,A005
8.23 Gb,A006
5.69 Gb,A007
6.28 Gb,A008
6.92 Gb,A009
7.93 Gb,A010
7.08 Gb,A011
6.97 Gb,A012
6.65 Gb,A013
5.97 Gb,A014
5.59 Gb,A015
5.38 Gb,A016
5.36 Gb,A017
5.90 Gb,A018
7.08 Gb,A019
5.39 Gb,A020
6.01 Gb,A021
7.03 Gb,A022
6.55 Gb,A023
6.03 Gb,A024
6.28 Gb,A025
6.59 Gb,A026
6.86 Gb,A027
6.02 Gb,A028
5.83 Gb,A029
9.04 Gb,A030
6.24 Gb,A031
7.06 Gb,A032
7.51 Gb,A033
7.45 Gb,A034
5.14 Gb,A035
6.43 Gb,A036
6.84 Gb,A037
7.42 Gb,A038
5.24 Gb,A039
5.75 Gb,A040
6.65 Gb,A041
6.34 Gb,A042
5.33 Gb,A043
6.08 Gb,A044
7.81 Gb,A045
6.39 Gb,A046
6.15 Gb,A047
5.58 Gb,A048
5.49 Gb,A049
6.14 Gb,A050
6.31 Gb,A051
5.31 Gb,A052
6.14 Gb,A053
7.42 Gb,A054
6.37 Gb,A055
6.73 Gb,A056
7.33 Gb,A057
6.10 Gb,A058
6.65 Gb,A059
6.48 Gb,A060
6.23 Gb,A061
5.62 Gb,A062
5.14 Gb,A063
5.75 Gb,A064
6.57 Gb,A065
12.99 Gb,A066
5.80 Gb,A067
8.30 Gb,A068
5.01 Gb,A069
5.65 Gb,A070
6.96 Gb,A071
5.73 Gb,A072
6.13 Gb,A073
5.20 Gb,A074
7.77 Gb,A075
5.24 Gb,A076
7.91 Gb,A077
7.31 Gb,A078
5.97 Gb,A079
6.05 Gb,A080
6.87 Gb,A081
7.22 Gb,A082
7.27 Gb,A083
7.53 Gb,A084
7.25 Gb,A085
6.77 Gb,A086
6.30 Gb,A087
6.36 Gb,A088
4.98 Gb,A089
8.38 Gb,A090
5.79 Gb,A091
10.21 Gb,B001
17.84 Gb,B002
9.60 Gb,B003
12.72 Gb,B004
11.37 Gb,B005
19.70 Gb,B006
12.96 Gb,B007
12.09 Gb,B008
10.58 Gb,B009
10.18 Gb,B010
9.10 Gb,B011
10.60 Gb,B012
11.72 Gb,B013
11.55 Gb,B014
11.03 Gb,B015
11.52 Gb,B016
10.42 Gb,B017
12.38 Gb,B018
13.30 Gb,B019
14.44 Gb,B020
14.16 Gb,B021
9.57 Gb,B022
10.28 Gb,B023
13.91 Gb,B024
12.41 Gb,B025
10.65 Gb,B026
9.45 Gb,B027
10.93 Gb,B028
10.29 Gb,B029
11.67 Gb,B030
12.73 Gb,B031
13.73 Gb,B032
10.30 Gb,B033
12.47 Gb,B034
13.92 Gb,B035
11.44 Gb,B036
9.16 Gb,B037
14.10 Gb,B038
13.91 Gb,B039
10.27 Gb,B040
9.83 Gb,B041
11.45 Gb,B042
13.49 Gb,B044
10.47 Gb,B045
10.79 Gb,B046
11.35 Gb,B047
11.91 Gb,B048
14.71 Gb,B049
12.35 Gb,B050
10.67 Gb,B052
10.36 Gb,B053
12.21 Gb,B054
10.91 Gb,B055
9.22 Gb,B056
11.12 Gb,B057
11.17 Gb,B058
10.49 Gb,B059
11.48 Gb,B060
10.50 Gb,B061
11.20 Gb,B062
13.99 Gb,B063
11.71 Gb,B064
18.95 Gb,B065
10.31 Gb,B066
9.71 Gb,B067
11.94 Gb,B068
10.00 Gb,B069
10.23 Gb,B070
11.87 Gb,B071
12.78 Gb,B072
11.78 Gb,B073
11.03 Gb,B074
13.77 Gb,B075
12.81 Gb,B076
10.74 Gb,B077
10.99 Gb,B078
15.88 Gb,B079
9.12 Gb,B080
10.58 Gb,B081
13.83 Gb,B082
10.34 Gb,B083
15.72 Gb,B084
10.69 Gb,B085
10.26 Gb,B086
12.20 Gb,B087
10.61 Gb,B088
10.64 Gb,B089
10.61 Gb,B090
9.90 Gb,B091
11.13 Gb,B093
12.96 Gb,B094
10.28 Gb,B096
11.12 Gb,B097
10.44 Gb,B098
10.93 Gb,B099
11.48 Gb,B100
10.69 Gb,B101
11.40 Gb,B102
10.95 Gb,B103
10.61 Gb,B104
12.83 Gb,B105
12.08 Gb,B106
11.29 Gb,B107
9.97 Gb,B108
10.87 Gb,B109
11.10 Gb,B110
10.57 Gb,B111
10.32 Gb,B112
9.68 Gb,B113
11.73 Gb,B114
11.64 Gb,B115
20.07 Gb,B116
15.40 Gb,B117
14.86 Gb,B118
11.47 Gb,B119
14.70 Gb,B120
12.73 Gb,B121
9.83 Gb,B122
14.06 Gb,B123
13.10 Gb,B124
17.94 Gb,B125
5.23 Gb,D001
6.66 Gb,D002
6.43 Gb,D003
6.28 Gb,D004
5.27 Gb,D005
6.76 Gb,D006
6.59 Gb,D007
7.03 Gb,D008
5.48 Gb,D009
4.88 Gb,D010
5.65 Gb,D011
6.21 Gb,D012
6.38 Gb,D013
6.94 Gb,D014
5.87 Gb,D015
6.84 Gb,D016
4.88 Gb,D017
5.22 Gb,D018
5.31 Gb,D019
6.14 Gb,D020
6.02 Gb,D021
5.75 Gb,D022
6.36 Gb,D023
5.24 Gb,D024
6.10 Gb,D025
7.31 Gb,D026
5.59 Gb,D027
5.20 Gb,D028
6.80 Gb,D029
5.04 Gb,D030
18.23 Gb,TW001
20.21 Gb,TW002
20.46 Gb,TW003
20.51 Gb,TW004
13.70 Gb,TW005
16.83 Gb,TW006
19.95 Gb,TW007
15.79 Gb,TW008
25.00 Gb,TW009
18.01 Gb,TW010
19.07 Gb,TW011
15.51 Gb,TW012
13.81 Gb,TW013
15.65 Gb,TW014
17.75 Gb,TW015
20.87 Gb,TW016
15.84 Gb,TW017
15.99 Gb,TW018
15.66 Gb,TW019
20.27 Gb,TW020
17.49 Gb,TW021
17.28 Gb,TW022
21.39 Gb,TW023
18.88 Gb,TW024
20.84 Gb,TW025
15.92 Gb,TW026
17.02 Gb,TW027
26.59 Gb,TW028
15.35 Gb,TW029
16.16 Gb,TW030
16.37 Gb,TW031
18.08 Gb,TW032
19.93 Gb,TW033
14.40 Gb,TW034
15.72 Gb,TW035
15.70 Gb,TW036
16.20 Gb,TW037
15.08 Gb,TW038
16.41 Gb,TW039
15.12 Gb,TW040
16.55 Gb,TW041
17.32 Gb,TW043
21.76 Gb,TW044
17.75 Gb,TW045
16.64 Gb,TW046
14.42 Gb,TW047
17.65 Gb,TW048
15.87 Gb,TW049
23.48 Gb,TW050
23.62 Gb,TW051
20.13 Gb,TW052
19.25 Gb,TW053
17.87 Gb,TW054